id, city, street
96435, Wrocław, Kozanowska 107
96436, Wrocław, Kozanowska 83
96437, Wrocław, Dokerska 46
96438, Wrocław, Dokerska 38
96439, Wrocław, Kozanowska 83
96440, Wrocław, Kozanowska 97
96441, Wrocław, Dokerska 52
96442, Wrocław, Pilczycka 95
96443, Wrocław, Dokerska 10
96444, Wrocław, Dokerska 16
96445, Wrocław, Pilczycka 113
96446, Wrocław, Pilczycka 123
96447, Wrocław, Racławicka 2
96448, Wrocław, Racławicka 2
96449, Wrocław, Lotnicza 139
96450, Wrocław, Dokerska 3
96451, Wrocław, Lotnicza 147
96452, Wrocław, Kozanowska 73
96453, Wrocław, Koszykarska 8a
96454, Wrocław, Koszykarska 60a
96456, Wrocław, Gwarecka 7
45107, Wrocław, Litewska 62-72
94338, Wrocław, Sycowska 8c
94339, Wrocław, Sycowska 8c
94341, Wrocław, Litewska 36-40
94346, Wrocław, Poleska 46
56708, Wrocław, Legnicka 134
89202, Wrocław, Na Ostatnim Groszu 10-12
89203, Wrocław, Na Ostatnim Groszu 46
89206, Wrocław, Na Ostatnim Groszu 96-106
89207, Wrocław, Kwiska 2-8
89208, Wrocław, Kwiska 10a
89209, Wrocław, Kwiska 21
89210, Wrocław, Na Ostatnim Groszu 36
89211, Wrocław, Kwiska 45-51
89253, Wrocław, Legnicka 84
89259, Wrocław, Bystrzycka 63
56813, Wrocław, Tyrmanda 19
47438, Wrocław, Kamienna 31-33
96200, Wrocław, Kamienna 31
96201, Wrocław, Kamienna 31-33
96202, Wrocław, Powstańców Śląskich 183
96203, Wrocław, Powstańców Ślaskich 165-167
96204, Wrocław, Kamienna 19-21
96205, Wrocław, Januszowicka 21-25
96206, Wrocław, Drukarska 37
96207, Wrocław, Jastrzębia 27-31
96208, Wrocław, Gradowa 5
96209, Wrocław, Burzowa 13
96210, Wrocław, Drukarska 31
96211, Wrocław, Drukarska 37
96212, Wrocław, Kamienna 4
96213, Wrocław, Powiewna 6
96214, Wrocław, Komandorska 169
96216, Wrocław, Powiewna 8
96217, Wrocław, Drukarska 2-8
96218, Wrocław, Wielka 53-59
96219, Wrocław, Drukarska 11-25
