id city street nr
8666 Wrocław Krzywoustego 285
60984 Wrocław Krzywoustego 285
64634 Wrocław Zielna 4
65009 Wrocław Bierutowska 8
64960 Wrocław Bierutowska 8
64188 Wrocław Kasztelańska 13
65005 Wrocław Marynarska 31
60944 Wrocław Marynarska 1
69047 Wrocław Krzywoustego 107
31514 Wrocław Krzywoustego 91
64648 Wrocław Krzywoustego 91
20212 Wrocław Królewska 30
76548 Wrocław Jelenia 42
76550 Wrocław Białowieska 13
76318 Wrocław Bobrza 44
76315 Wrocław Bobrza 26
69935 Wrocław Białowieska 23
64653 Wrocław Jelenia 56
76541 Wrocław Niedźwiedzia 6
76547 Wrocław Legnicka 62
76314 Wrocław Popowicka 92
76542 Wrocław Bobrza 2
63151 Wrocław Popowicka 104
76322 Wrocław Popowicka 70
76551 Wrocław Niedźwiedzia 30
61682 Wrocław Niedźwiedzia 41
76537 Wrocław Wejherowska 17
69384 Wrocław Wejherowska 3-9
69050 Wrocław Popowicka 150
69051 Wrocław Popowicka 142
69053 Wrocław Popowicka 134
76549 Wrocław Białowieska 30
69933 Wrocław Popowicka 49
69954 Wrocław Popowicka 10
61680 Wrocław Brzezińska 21
74519 Wrocław Brzezińska 21
65147 Wrocław Brzezińska 37
61398 Wrocław Brzezińska 41
51141 Wrocław Dolnobrzeska 30
64957 Wrocław Krępicka 41
39728 Wrocław Krępicka 41
69706 Wrocław Prochowicka 3
3528 Wrocław Prochowicka 11
NaN Wrocław Chorwacka 78
61144 Wrocław Kamieńskiego 190
29268 Wrocław Kamieńskiego 190
49208 Wrocław Sportowa 18
59334 Wrocław Kamieńskiego 108
10707 Wrocław Kamieńskiego 108
25310 Wrocław Żmigrodzka 22
45929 Wrocław Rowerowa 7
65253 Wrocław Obornicka 23
14359 Wrocław Macedońska 5
22601 Wrocław Obornicka 26
76323 Wrocław Kolista 9
47379 Wrocław Kolista 9
76753 Wrocław Pałucka 45
22524 Wrocław Pałucka 67
76752 Wrocław Dzielna 15
28639 Wrocław Dzielna 41
76334 Wrocław Modra 6
76321 Wrocław Wiślańska 10
64962 Wrocław Górnicza 49
65146 Wrocław Górnicza 49
28736 Wrocław Setna 4
55143 Wrocław Daktylowa 1
76539 Wrocław Daktylowa 1
10710 Wrocław Wojanowska 66
64647 Wrocław Wojanowska 66
69976 Wrocław Rodzynkowa 3
65123 Wrocław Rodzynkowa 6
48792 Wrocław Reszelska 2
8004 Wrocław Reszelska 7
63140 Wrocław Augustowska 80
76026 Wrocław Augustowska 93
76030 Wrocław Tolkmicka 2
65434 Wrocław Królewiecka 155
74527 Wrocław Paniowicka 21
74947 Wrocław Pilczycka 198f
76033 Wrocław Koszalińska 10
76036 Wrocław Hermanowska 73
76032 Wrocław Hermanowska 63
63487 Wrocław Sarbinowska 7
76034 Wrocław Sarbinowska 31
76044 Wrocław Sarbinowska 35
76035 Wrocław Dźwirzyńska 28
76040 Wrocław Dźwirzyńska 34
64630 Wrocław Objazdowa 46
21843 Wrocław Objazdowa 88
65039 Wrocław Strachowicka 8
31814 Wrocław Topolowa 5
40179 Wrocław Topolowa 5
76544 Wrocław Cedrowa 19
63859 Wrocław Cedrowa 19
76332 Wrocław Leonarda 9
76029 Wrocław Leonarda 9
58661 Wrocław Wileńska 1
60240 Wrocław Wileńska 1
74529 Wrocław Wileńska 13
10389 Wrocław Wileńska 13
65011 Wrocław Pionierów 9
64618 Wrocław Pionierów 9
60962 Wrocław Bytomska 5
60948 Wrocław Bytomska 5
50606 Wrocław Katowicka 25
51210 Wrocław Chorzowska 19
61135 Wrocław Gogolinska 1
NaN Wrocław Bujwida 34
NaN Wrocław Bujwida 34
76756 Wrocław Bujwida 34
NaN Wrocław Bujwida 34
NaN Wrocław Bujwida 34
NaN Wrocław Bujwida 34
29977 Wrocław Bujwida 34
61086 Wrocław Bujwida 34
65022 Wrocław Bujwida 34
76045 Wrocław Duboisa 11-13
76046 Wrocław Duboisa 11-13
76043 Wrocław Gdańska 28
NaN Wrocław Jaracza/Bacha 
NaN Wrocław Jaracza/Bacha 
60899 Wrocław Świstackiego 6
23891 Wrocław Krynicka 52
76319 Wrocław Zemska 10
74958 Wrocław Zemska 35
76754 Wrocław Rogowska 4
74966 Wrocław Rogowska 44
76535 Wrocław Rogowska 34
74957 Wrocław Zemska 35
76539 Wrocław Zemska 16c
74531 Wrocław Rogowska 80
74965 Wrocław Rogowska 162
76534 Wrocław Nowodworska 7
76529 Wrocław Zemska 10
48399 Wrocław Zemska 38
76532 Wrocław Rogowska 52
NaN Wrocław Rogowska 22
